Service,0.5,5,10,15,20,25,30,35,40,45,50
Engine Oil (Level check / Replace),Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace
Oil Filter Element,Replace,,Replace,,Replace,,Replace,,Replace,,Replace
Engine oil strainer on crankcase LH,Clean,,Clean,,Clean,,Clean,,Clean,,Clean
Inlet / Exhaust Tappet setting,Inspect&Adjust,Inspect&Adjust,Inspect&Adjust,Inspect&Adjust,Inspect&Adjust,Inspect&Adjust,Inspect&Adjust,Inspect&Adjust,Inspect&Adjust,Inspect&Adjust,Inspect&Adjust
"Rubber hose, Inlet manifold",Inspect,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace
Oil cooler inlet & outlet pipes,Inspect,Inspect,Inspect,Replace,Inspect,Inspect,Replace,Inspect,Inspect,Replace,Inspect
Spark plug,Clean&Adjust,Clean&Adjust,Clean&Adjust,Replace,Clean&Adjust,Clean&Adjust,Replace,Clean&Adjust,Clean&Adjust,Replace,Clean&Adjust
HT leads for crack,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Replace,Inspect,Inspect,Inspect,Inspect
Fuel Hose,Inspect,Inspect,Inspect,Replace,Inspect,Inspect,Replace,Inspect,Inspect,Replace,Inspect
Fuel Hose & Clip/ Injector 'O' ring/ Seal Ring,Inspect,Inspect,Inspect,Replace,Inspect,Inspect,Replace,Inspect,Inspect,Replace,Inspect
Fuel Pump,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect,Inspect
Air filter element,Clean,Clean,Replace,Clean,Replace,Clean,Replace,Clean,Replace,Clean,Replace
Accelerator Cable,Inspect,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace
"Rubber Hose, Air filter to Throttle body",Inspect,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace
PAV pipes & Hose clip,Inspect,Inspect,Inspect,Inspect,Inspect,Replace,Inspect,Inspect,Inspect,Inspect,Replace
Throttle body - Cleaning spray,,Clean,Clean,Clean,Clean,Clean,Clean,Clean,Clean,Clean,Clean
Clutch Cable,Inspect,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace,Inspect,Replace
